topic_id,topic_abbr,reading,chapter
1,data_science,,
2,datasets,,
3,r_intro,,
4,data_fundamentals,,
5,summarizing,,
6,learning_code,,
7,grammar_graphics,wickhamGgplot2ElegantGraphics,
8,viz_conventions,tufteVisualDisplayQuantitative2001,
8,viz_conventions,dignazioRationalScientificObjective2020,
9,designing_graphics,,
10,frequency_Plots,,
11,boxplots,,
12,multivariate,,
13,github,brennanGitHubNonCodersStephen,
14,markdown,wickhamDataScienceImport2017,27. R Markdown
15,recap1,,
16,subsetting,,
17,aggregating,,
18,facet_filter,,
19,data_acquisition,irizarryIntroductionDataScience2022,25. String processing
20,pivoting,,
21,tidying,wickhamTidyData2014,
22,joining,,
23,apis,,
24,joining_apis,,
25,functions,,
26,practicing_functions,,
27,recap2,,
28,projections,,
29,leaflet,,
30,interpretation,,
31,polygons,,
32,layering,,
33,chloropleth,,
34,tbd1,,
35,tbd2,,
36,recap3,,
37,final1,,
38,final2,,
39,final3,,
