topic_id,topic_abbr,announcement
1,data_science,If you wish you may fill out the Trigger Warnings Questionnaire in Moodle.
1,data_science,Be sure to configure Slack notifications for our course. I also encourage you to download and install a Desktop version of Slack. 
1,data_science,Class slides are [here](slides/Day1-Intro.html)
2,datasets,
3,r_intro,Trigger warning: Monday's reading opens with a case study on gun homicide in the U.S.
4,data_fundamentals,
5,summarizing,
6,learning_code,
7,grammar_graphics,
8,viz_conventions,
8,viz_conventions,
9,designing_graphics,
10,frequency_Plots,
11,boxplots,
12,multivariate,
13,github,,
14,markdown,
15,recap1,
16,subsetting,
17,aggregating,
18,facet_filter,
19,data_acquisition,
20,pivoting,
21,tidying,
22,joining,
23,apis,
24,joining_apis,
25,functions,
26,practicing_functions,
27,recap2,
28,projections,
29,leaflet,
30,interpretation,
31,polygons,
32,layering,
33,chloropleth,
34,tbd1,
35,tbd2,
36,recap3,
37,final1,
38,final2,
39,final3,
