topic_id,topic_abbr,topic,date
1,data_science,What is Data Science?,1/24/22
2,datasets,What are datasets?,1/26/22
3,r_intro,Lab: Introduction to R,1/28/22
4,data_fundamentals,Data Fundamentals,1/31/22
5,summarizing,Summarizing Data,2/2/22
6,learning_code,Lab: Learning to Code,2/4/22
7,grammar_graphics,Grammar of Graphics,2/7/22
8,viz_conventions,Visualization Conventions,2/9/22
9,designing_graphics,Lab: Designing Effective Data Visualizations,2/11/22
10,frequency_Plots,Frequency Plots,2/14/22
11,boxplots,Boxplots,2/16/22
12,multivariate,Lab: Designing Multi-variate Plots ,2/18/22
13,github,GitHub Essentials,2/21/22
14,markdown,Authoring Documents in Rmarkdown,2/23/22
15,recap1,Recap,2/25/22
16,subsetting,Subsetting Data,2/28/22
17,aggregating,Aggregating and Summarizing Data,3/2/22
18,facet_filter,Lab: Exploratory Data Analysis,3/4/22
19,data_acquisition,Importing and Cleaning Datasets,3/7/22
20,pivoting,Pivoting Datasets,3/21/22
21,tidying,Lab: Tidying Datasets,3/11/22
22,joining,Joining Datasets,3/23/22
23,apis,Working with APIs,3/28/22
24,joining_apis,Lab: Joining Data Extracted from the Web,3/30/22
25,functions,Functions and Iteration in R,4/18/22
26,practicing_functions,Lab: Designing Functions,4/20/22
27,recap2,Recap,4/1/22
28,projections,Geographic Data and Spatial Projections,4/4/22
29,leaflet,Mapping Point Data in Leaflet,4/6/22
30,interpretation,Lab: Interpreting Maps,4/8/22
31,polygons,Mapping Polygon Data,4/11/22
32,layering,Adding Layers to Maps,4/13/22
33,chloropleth,Lab: Chloropleth Maps,4/15/22
34,tbd1,Data Wrangling Practice,3/9/22
35,tbd2,Practice Pivoting and Wrangling,3/25/22
36,recap3,Recap,4/22/22
37,final1,Final Projects,4/25/22
38,final2,Final Projects,4/27/22
39,final3,Final Projects,4/29/22
